,artist,designer,mechanic,category,game_type,family,publisher
5815,"20072,1718,140",181,2026,"1008,1019,1049",4664,"61979,26464",189
5816,"51745,4117",2132,"2047,2078,2004","1041,1045,1064,1093",4665,"7349,11208","99,34"
5817,,3,"2035,2004,2070,2008",1038,,,"520,1546"
5818,,3,"2043,2078,2035","1022,1064,1081",,"28608,28070","20,9530,6492"
5819,3,"3867,3868",,1009,4666,"62518,6485,61979,96","1548,5135"
5820,,2394,"2011,2078,2035","1059,1031",,,1549
5821,,3,2078,"1089,1041,1072",4665,,"4539,17039,20"
5822,,3,2040,"1002,1064",,,20
5823,2395,2395,2040,"1002,1116",,"28599,19350",329
5824,,3,"2072,2035","1022,1041",4665,"22232,5619,9798",528
5825,,"2396,94",2002,1084,,"62615,6363,7744,57181","402,37"
5826,,3,2004,1002,,,"8,103,117,495,95"
5827,"17528,13592",27,"2072,2676,2026,2822,2070,2897","1016,1019",4664,"22783,61646,41799",23
5828,,166,"2040,3006,2009",1002,5497,"24431,24434,98,70360","1001,6354"
5829,,3,"2072,2876,2035,2861","1064,1016",,"5679,79835,62097,62042,4214","253,439"
5830,,3,2035,"1094,1011",,,1551
5831,,"2397,1640",2046,"1009,1038",4666,"61979,5628",1552
5832,,3,2047,"1041,1045,1064",4665,"7349,28519,5714",115
5833,,3,,"1032,1041,1072,1064",4665,"7349,28519,5714",115
5834,,"557,2098","2046,2011,2016,2020,2015","1089,1036",,"7559,39749","127,6412,38,4622"
5835,,3,"2001,2070","1031,1038",,"11006,5663,66168",1554
5836,,2399,"2883,2940","1027,1025",,,16
5837,3,3,,"1037,1025",,61979,"64,20"
5838,26864,"410,411","2001,2072,2015","1044,1017,1010,1046,1047,1016,1019",4667,"5914,61979,21812,5611,7757",221
5839,,335,"2975,2016,2020","1047,1019,1049",4664,"61979,71615","1555,1556"
5840,,335,"2016,2020","1047,1069,1019,1049",4664,"61979,71615",181
5841,,1860,"2018,2040,2016","1002,1046,1019,1049",4664,"3217,73208",1115
5842,3,1860,"2018,2040,2016","1002,1046,1019,1049",4664,"11966,3217",1115
